document_idx,topic,probability,date,macro_theme
272,0,0.9055647961101698,2021-12-20 10:41:00,Security and Fraud
273,0,1.0,2021-12-20 15:45:00,Market and Financial Services
274,0,1.0,2021-12-20 17:19:00,Technology and Innovation
275,-1,0.0,2021-12-20 19:00:00,NFTs and Digital Collectibles
276,-1,0.0,2021-12-20 21:00:00,NFTs and Digital Collectibles
277,0,0.5017671468637604,2021-12-21 09:05:00,Technology and Innovation
278,-1,0.0,2021-12-21 11:14:00,Technology and Innovation
279,0,1.0,2021-12-21 14:30:00,NFTs and Digital Collectibles
280,0,1.0,2021-12-21 16:56:00,Technology and Innovation
281,2,1.0,2021-12-21 19:00:00,Market and Financial Services
282,0,1.0,2021-12-22 01:00:00,Technology and Innovation
283,0,1.0,2021-12-22 09:04:00,Security and Fraud
284,6,0.2347990580513441,2021-12-22 11:24:00,Governance and Organizations
285,0,1.0,2021-12-22 12:10:00,NFTs and Digital Collectibles
286,0,1.0,2021-12-22 12:24:00,Technology and Innovation
287,0,0.9825789456712404,2021-12-22 13:23:00,Market and Financial Services
288,0,1.0,2021-12-22 16:49:00,Technology and Innovation
289,-1,0.0,2021-12-22 19:00:00,NFTs and Digital Collectibles
290,-1,0.0,2021-12-23 01:00:00,Technology and Innovation
291,0,1.0,2021-12-23 09:11:00,Security and Fraud
292,0,0.8742658756992393,2021-12-23 09:38:00,Technology and Innovation
293,0,0.4995685684061978,2021-12-23 12:22:00,Technology and Innovation
294,0,0.8453119528126894,2021-12-23 14:24:00,Market and Financial Services
295,0,1.0,2021-12-23 15:37:00,Governance and Organizations
296,0,1.0,2021-12-23 16:23:00,Technology and Innovation
297,0,1.0,2021-12-23 19:00:00,NFTs and Digital Collectibles
298,0,0.9282457383122902,2021-12-23 21:00:00,Technology and Innovation
299,0,0.4066929855916176,2021-12-24 01:00:00,Legal and Regulatory Affairs
300,0,1.0,2021-12-24 04:32:00,Market and Financial Services
301,0,1.0,2021-12-24 10:13:00,Market and Financial Services
302,0,0.5406903032153055,2021-12-24 12:28:00,Technology and Innovation
303,0,1.0,2021-12-24 13:30:00,Technology and Innovation
304,-1,0.0,2021-12-24 15:00:00,Technology and Innovation
305,0,1.0,2021-12-24 17:00:00,Technology and Innovation
306,0,0.9611974224953642,2021-12-25 01:00:00,Market and Financial Services
307,0,0.3193929058895858,2021-12-27 05:07:00,Market and Financial Services
308,0,1.0,2021-12-27 10:33:00,Legal and Regulatory Affairs
309,0,1.0,2021-12-27 11:19:00,Governance and Organizations
310,0,0.8020995551915511,2021-12-27 12:02:00,Market and Financial Services
311,0,1.0,2021-12-27 13:42:00,Security and Fraud
312,0,1.0,2021-12-27 14:21:00,Technology and Innovation
313,0,1.0,2021-12-27 15:39:00,Market and Financial Services
314,0,1.0,2021-12-27 16:37:00,Technology and Innovation
315,-1,0.0,2021-12-27 20:00:00,NFTs and Digital Collectibles
316,0,1.0,2021-12-28 05:06:00,NFTs and Digital Collectibles
317,-1,0.0,2021-12-28 08:42:00,Technology and Innovation
318,-1,0.0,2021-12-28 09:55:00,Market and Financial Services
319,0,1.0,2021-12-28 10:57:00,Market and Financial Services
320,0,1.0,2021-12-28 13:49:00,Market and Financial Services
321,0,1.0,2021-12-28 15:26:00,Market and Financial Services
322,0,1.0,2021-12-28 16:22:00,Technology and Innovation
323,0,1.0,2021-12-29 04:34:00,Market and Financial Services
324,0,1.0,2021-12-29 09:25:00,Security and Fraud
325,0,0.8254359573427147,2021-12-29 10:30:00,NFTs and Digital Collectibles
326,0,0.6656752143114864,2021-12-29 11:58:00,Market and Financial Services
327,0,0.4398613958631872,2021-12-29 12:19:00,Market and Financial Services
328,0,0.977873074956107,2021-12-29 14:00:00,Technology and Innovation
329,-1,0.0,2021-12-29 16:16:00,Technology and Innovation
330,0,1.0,2021-12-29 17:01:00,Technology and Innovation
331,0,1.0,2021-12-30 04:38:00,Technology and Innovation
332,0,0.2842887081661219,2021-12-30 08:35:00,NFTs and Digital Collectibles
333,2,0.5326437506498092,2021-12-30 09:37:00,Legal and Regulatory Affairs
334,0,0.3050965071517385,2021-12-30 11:07:00,Technology and Innovation
335,0,1.0,2021-12-30 14:18:00,Market and Financial Services
336,0,1.0,2021-12-30 15:49:00,Market and Financial Services
337,0,1.0,2021-12-30 16:38:00,Technology and Innovation
338,-1,0.0,2021-12-31 00:00:00,NFTs and Digital Collectibles
339,0,1.0,2021-12-31 04:46:00,Technology and Innovation
340,0,0.7501430055936568,2021-12-31 10:47:00,Technology and Innovation
341,0,0.7854357905334792,2021-12-31 12:33:00,Market and Financial Services
342,0,1.0,2021-12-31 15:39:00,Technology and Innovation
343,0,0.9951266978691702,2021-12-31 17:00:00,Security and Fraud
344,0,0.9964111199299036,2022-01-01 00:32:00,Legal and Regulatory Affairs
345,-1,0.0,2022-01-01 05:27:00,Security and Fraud
346,0,1.0,2022-01-01 17:17:00,NFTs and Digital Collectibles
347,0,1.0,2022-01-01 20:57:00,Legal and Regulatory Affairs
348,0,1.0,2022-01-03 04:41:00,Technology and Innovation
349,0,1.0,2022-01-03 09:11:00,Legal and Regulatory Affairs
350,-1,0.0,2022-01-03 09:53:00,NFTs and Digital Collectibles
351,0,1.0,2022-01-03 11:56:00,NFTs and Digital Collectibles
352,0,0.6484317031997839,2022-01-03 12:49:00,Market and Financial Services
353,0,0.8436889304600653,2022-01-03 15:26:00,Market and Financial Services
354,0,1.0,2022-01-03 15:43:00,Market and Financial Services
355,0,1.0,2022-01-03 16:17:00,Technology and Innovation
356,0,0.6382869029344912,2022-01-03 19:00:00,Legal and Regulatory Affairs
357,0,1.0,2022-01-03 21:00:00,NFTs and Digital Collectibles
358,1,1.0,2022-01-04 01:00:00,Market and Financial Services
359,0,1.0,2022-01-04 04:48:00,NFTs and Digital Collectibles
360,0,0.4271484782118254,2022-01-04 08:43:00,Technology and Innovation
361,-1,0.0,2022-01-04 09:45:00,Technology and Innovation
362,-1,0.0,2022-01-04 10:50:00,Market and Financial Services
363,0,1.0,2022-01-04 12:23:00,Market and Financial Services
364,0,1.0,2022-01-04 12:51:00,Technology and Innovation
365,-1,0.0,2022-01-04 15:05:00,Technology and Innovation
366,0,1.0,2022-01-04 16:52:00,Technology and Innovation
367,-1,0.0,2022-01-04 16:56:00,NFTs and Digital Collectibles
368,0,1.0,2022-01-04 17:49:00,NFTs and Digital Collectibles
369,0,0.917763809374514,2022-01-05 05:17:00,NFTs and Digital Collectibles
370,0,1.0,2022-01-05 10:07:00,Technology and Innovation
371,1,1.0,2022-01-05 10:55:00,Legal and Regulatory Affairs
372,-1,0.0,2022-01-05 11:47:00,Technology and Innovation
373,0,0.6893723646743064,2022-01-05 12:05:00,Technology and Innovation
374,-1,0.0,2022-01-05 13:46:00,NFTs and Digital Collectibles
375,0,0.9958648979240262,2022-01-05 14:49:00,Market and Financial Services
376,0,0.6620964956391963,2022-01-05 15:26:00,Market and Financial Services
377,0,1.0,2022-01-05 16:25:00,Technology and Innovation
378,0,1.0,2022-01-06 00:00:00,Market and Financial Services
379,0,1.0,2022-01-06 04:55:00,Market and Financial Services
380,0,0.4559287595465834,2022-01-06 09:07:00,Security and Fraud
381,-1,0.0,2022-01-06 09:34:00,Technology and Innovation
382,0,1.0,2022-01-06 10:40:00,Market and Financial Services
383,0,1.0,2022-01-06 11:55:00,Technology and Innovation
384,0,1.0,2022-01-06 12:37:00,Market and Financial Services
385,0,1.0,2022-01-06 13:36:00,Technology and Innovation
386,-1,0.0,2022-01-06 14:40:00,Market and Financial Services
387,-1,0.0,2022-01-06 15:39:00,NFTs and Digital Collectibles
388,0,1.0,2022-01-06 16:46:00,Technology and Innovation
389,0,1.0,2022-01-06 17:11:00,NFTs and Digital Collectibles
